agenturid;agenturname;einrichtungsname;angebotsname;beschreibung;wertigkeit;plz;ort;kontaktierbar;avatar;anzahl_gesuche;anzahl_aktueller_vermittlungen;latitude;longitude;ortsteil;bearbeitet;erstellt;_angebotsId
314;ASB Zeitspender-Agentur Hamburg;Freilichtmuseum am Kiekeberg;Unterstützung an Aktionstagen im Freilichtmuseum am Kiekeberg;"<p>Über 200.000 Besucher genießen jährlich das breite Angebot an kulturellen Veranstaltungen, Aktionstagen, Handwerksvorführungen und Kursen im Freilichtmuseum am Kiekeberg und seinen Außenstellen. Diese Herausforderung kann das feste Mitarbeiter-Team nicht alleine bewältigen. Bei vielen Projekten und Veranstaltungen sind wir auf die Unterstützung unserer ehrenamtlicher Mitarbeiterinnen und Mitarbeiter angewiesen.</p>

<p>Gesucht werden freiwillige HelferInnen bei unseren großen Veranstaltungstagen in den folgenden Bereichen:</p>

<ul><li>Verkauf von Museumsprodukten,</li>
	<li>Kaffee und Kuchen etc., </li>
	<li>Einlass und Kasse,</li>
	<li>Grillstandbetreuung, Ausschank etc.</li>
	<li>sowie Besucherbegrüßung (mit Programmausgabe). </li>
	<li>Begleitung des Ferienprogramms für Kinder oder beim Familienkonzert.</li>
</ul><p>Wir suchen HelferInnen, die Lust haben, anzupacken, sich für Museumsarbeit und Kultur interessieren und Freude am Umgang mit Menschen haben. Wenn Sie sich für dieses Engagment interessieren, melden Sie sich gerne in der Freiwilligenagentur.</p>

<p><span style=""text-decoration:underline;"">Termine / Einsatzzeiten:</span></p>

<ul><li>Je nach Veranstaltungsterminen (Einsatzzeiten sind entweder halbtags (= 4 Stunden) oder ganztags (= 8 Stunden)</li>
	<li>Ganzjährig (es gibt keinen Monat ohne Veranstaltung)</li>
	<li>Anzahl der Helfertage ist völlig flexibel wählbar</li>
</ul>";0;21224;;0;;0;0;53,4398;9,90381;Rosengarten-Ehestorf;1518517633;1436185080;73564
313;Freiwilligennetzwerk Harburg;Balu und Du_Malteser Hilfsdienst e.V.;Mentor/Mentorin für Grundschüler_in;"<p>Gesucht werden junge, zuverlässige Menschen im Alter von 18 bis 30 Jahren, die einem Kind Zeit und Aufmerksamkeit schenken wollen, um dieses im außerschulischen Bereich zu fördern und um ihm neue Erfahrungshorizonte zu eröffnen. Der persönliche Mentor unternimmt 1x wöchentlich Freizeitaktivitäten mit dem Kind, z. B. auf den Spielplatz gehen, backen, Spiele spielen, Fußball spielen oder was den beiden sonst noch so Spaß macht. Balu und Mogli gestalten ihre Zeit zu zweit in gemeinsamer Absprache. Bei Balu und Du geht es weder um Hausaufgabenbetreuung noch um Förderunterricht, sondern um eine aktive und abwechslungsreiche Freizeitgestaltung. Ein Nachmittag in der Bücherhalle, gemeinsames Basteln und Werkeln, Longboardfahren, an der Elbe spazieren, Pizza backen, Frisbee spielen – es gibt Unzähliges zu entdecken und zu lernen.</p>

<p>Die Balus werden dabei vom Malteser Hilfsdienst e.V. vorbereitet, unterstützt und pädagogisch begleitet. Für die Treffen mit Mogli stehen den Balus monatlich 10 Euro Taschengeld zur Verfügung.</p>";0;;;0;;4;0;;;;1518454683;1412785260;65248
313;Freiwilligennetzwerk Harburg;Ambulanter Hospizdienst Hamburger Süden e.V.;Begleitung von Sterbenden und deren Angehörigen;"<p>Gesucht werden ehrenamtliche Sterbebegleiter/innen für den ambulanten Hospizdienst des Vereins. Sie begleiten Sterbende und deren Angehörige im Trauer- und Sterbeprozess. Neben sozialer Kompetenz, zeitlicher Flexibilität und Empathiefähigkeit ist eine vorherige 12-monatige Schulung Grundvoraussetzung für dieses Engagement.</p>

<p>Die Ausbildung besteht aus drei Teilen: Einführungskurs, Praktikum, Vertiefungskurs. Der Einführungskurs besteht aus neun dreistündigen Einheiten. Das Praktikum erfolgt in einem Alten- und Pflegeheim oder in der häuslichen Umgebung und dauert etwa drei Monate. Der Vertiefungskurs schließt ebenfalls neun dreistündige Einheiten ein. Die Schulung wird von den Koordinatorinnen in Zusammenabeit mit verschiedenen Gastdozenten durchgeführt.</p>

<p>Alle Teilnehmer/innen werden während der Ausbildungzeit professionell durch Supervision begleitet.</p>

<p>Schwerpunkte der Ausbildung:</p>

<p style=""margin-left:40px;"">•Anliegen und Ziele der Hospizbewegung<br>
•eigene Auseinandersetzung mit Sterben, Tod und Verlust<br>
•Sterbeforschung und Sterbephasen<br>
•Demenz<br>
•Angehörigenbegleitung<br>
•Trauer<br>
•Sterbebegleitung aus ärztlicher Sicht<br>
•Psychohygiene<br>
•Beerdigungswesen<br>
•Betreungsrecht, Patientenverfügung und Patientenvollmacht<br>
•Besuch eines stationären Hospizes und einer Palliativstation<br>
•Praktikum über 30 Stunden mit begleitender Supervision</p>

<p>Gesamtstundenumfang:<br>
•100 Stunden inklusive Praktikum<br>
 </p>";0;21073;;0;;0;1;53,4633;9,9718;Hamburg;1518451086;1325085720;40042
314;ASB Zeitspender-Agentur Hamburg;Freilichtmuseum am Kiekeberg;Unterstützung bei der Gartenarbeit im Freilichtmuseum am Kiekeberg;"<p>Das Freilichtmuseum am Kiekeberg bewahrt, erforscht und vermittelt die Kulturgeschichte der Lüneburger Heide und der Winsener Elbmarsch. Auf zwölf Hektar wird in über 40 historischen Gebäuden das Leben unserer Vorfahren dargestellt. Zudem bewohnen alte Nutztierrassen die Anlage und den historischen Garten. Da im Garten immer viel zu tun ist, freuen wir uns über Freiwillige, die uns regelmäßig einmal pro Woche bei der Gartenarbeit unterstützen möchten.</p>

<p><span style=""text-decoration:underline;"">Termine:</span></p>

<ul><li>Jeden zweiten Samstag, 11-15 Uhr</li>
	<li>Ganzjährig (auch im Winter)</li>
	<li>Regelmäßige Teilnahme wird vorausgesetzt</li>
</ul>";0;21224;;0;;0;0;53,4398;9,90381;Rosengarten-Ehestorf;1518517668;1436268120;73668
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Gemeinsam aktiv - Freizeitbegleitung gesucht;"Gemeinsam Radfahren, Spazieren gehen, schwimmen oder Konzerte besuchen.<br />
Nadine, 40 Jahre alt aus Volksdorf sucht eine Freizeit-Begleitung.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Lust gemeinsam unterwegs zu sein.<br />
<br />
<strong>Gesuchte Personen:</strong> 1<br />
<br />
<strong>Weitere Informationen:</strong><br />
	Eine professionelle Ansprechperson, die stets vor Ort ist<br />
	Erstattung von Auslagen nach Absprache<br />
	Haftpflicht- und Unfallversicherung über das BHH Sozialkontor <br />
	Hamburger Nachweis für Bürgerschaftliches Engagement";0;20099;;0;;0;0;53,55;10;Hamburg;1518562800;1518562800;70733
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Sportfreund gesucht in Berne;"Sie kegeln gern, haben Lust auf Minigolf oder eine Schwimmgruppe? Wir, die Anwohner im Hilda Heinemann Haus in Berne, suchen Unterstützung. Gemeinsam aktiv werden ist unser Motto.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Lust Menschen mit einer geistigen Behinderung zu begleiten.<br />
<br />
<strong>Gesuchte Personen:</strong> 1-2<br />
<br />
<strong>Weitere Informationen:</strong><br />
	Eine professionelle Ansprechperson, die stets vor Ort ist<br />
	Erstattung von Auslagen nach Absprache<br />
	Haftpflicht- und Unfallversicherung über das BHH Sozialkontor <br />
	Hamburger Nachweis für Bürgerschaftliches Engagement";0;;;0;;0;0;0;0;Hamburg;1518562800;1518562800;70593
520;Gute Tat - Standort Hamburg;Stiftung Gute Tat;Mitspieler gesucht;"Sie spielen gern Brettspiele und haben lust unsere Spielegruppe zu unterstützen? Wir treffen uns regelmäßig im Treffpunkt Kirchdorf-Süd. Wir sind Menschen aus Kirchdorf -Süd, die gerne zusammen zeit verbringen.<br />
<br />
<strong>Voraussetzungen:</strong><br />
Lust und Spaß neue Leute kennenzulernen.<br />
<br />
Wir bieten ein vielfältiges Programm an Aktivitäten und Beratung für Menschen mit psychischer Erkrankung und Menschen mit und ohne Behinderung.<br />
<br />
<strong>Gesuchte Personen:</strong> 1-2<br />
<br />
<strong>Weitere Informationen:</strong><br />
	Eine professionelle Ansprechperson, die stets vor Ort ist<br />
	Erstattung von Auslagen nach Absprache<br />
	Haftpflicht- und Unfallversicherung über das BHH Sozialkontor <br />
	Hamburger Nachweis für Bürgerschaftliches Engagement";0;;;0;;0;0;0;0;Hamburg;1518562800;1518562800;70597
313;Freiwilligennetzwerk Harburg;BürgerStiftung Hamburg - Projekt LeseZeit;Teamberaterin/berater für Vorleseteams;"<p>Die „LeseZeit“ ist ein von großem bürgerschaftlichen Engagement getragenes Projekt der BürgerStiftung Hamburg. Es wurde 2005 ins Leben gerufen und ist inzwischen an 36 Standorten Hamburgs verankert.<br>
Teamberater*innen lesen wie Vorleser*innen (siehe oben) auch, regelmäßig, immer zu zweit Kindern im Alter von 3 bis 8 Jahren in Kindertagesstätten oder Schulen vor.  Das Vorlesen begleiten sie mit erzählen, malen, basteln, manchmal auch singen oder kleinen szenischen Darstellungen. Mit der eigenen Freude am Lesen und am Umgang mit Kindern laden sie ein, in die Welt der Bücher und der Phantasie, regen die Kreativität der Kinder an, stärken ihre Konzentrationsfähigkeit und wecken ihre Leselust.</p>

<p>Der/die Teamberater*in betreut dann zusätzlich noch in einer bestimmten Region oder Stadtteil mehrere Lesestandorte und deren Vorleseteams, kennt sich dort aus, regt Austausch zwischen Standorten in pädagogischen und organisatorischen Fragen an, initiiert ggf. die Gründung neuer Lesestandorte und hält Verbindung zur Projektleitung. Er/Sie ist auch Vorleser*in in einer Kita oder Schule und kennt die Anforderungen, die an die Vorleser*innen gestellt werden.</p>

<p>Der/die Teamberater*in ist Ansprechpartner für die Leitungen/Verbindungslehrer in den Einrichtungen, wenn das Vorleseteam Unterstützung braucht.</p>

<p>Der/die Teamberater*in ist das Bindeglied zwischen den Vorleser*innen, der Projektleitung der BürgerStiftung Hamburg. Er/Sie organisiert Austauschtreffen mit den Vorleser*innen bei denen wechselseitig Informationen fließen und man sich gegenseitig Hilfestellung gibt, z.B. mit neuen Spielen oder Büchern, Tipps für unruhige Kinder o.ä. Der/die Teamberater*in kommt zu sechs Sitzungen im Jahr in die BürgerStiftung Hamburg und fühlt sich gemeinsam mit der Projektleitung inhaltlich und organisatorisch verantwortlich für das Gelingen des „LeseZeit“ Projektes.</p>

<p>Zielgruppe: Wir wünschen uns engagierte Vorleser/innen, die gerne im Team arbeiten und gemeinsam an der Weiterentwicklung eines gut funktionierenden Vorleseprojekt interessiert sind, die die „LeseZeit“ mit ihrer Kreativität und ihrem Organisationstalent unterstützen. Z.B. ehemalige Lehrer*innen, Erzieher*innen, Pädagogen*innen, die Zeit haben sich für die Kinder in ihrem Stadtteil und die Bildungsgerechtigkeit einzusetzen.<br>
Zeitaufwand: 14-tägig 1-2 Stunden Vorlesen, 6x im Jahr Beratungssitzungen in der BürgerStiftung, möglicherweise Teilnahme an zwei Einführungsseminaren im Jahr und natürlich der Kontakt zu den Vorleseteams.</p>";0;20095;;0;;7;15;53,5487;9,99777;Hamburg;1518707647;1509963600;126316
313;Freiwilligennetzwerk Harburg;Diakonisches Werk - Ausbildungsbrücke- PATENMODELL -;Paten für Jugendliche und junge Erwachsene;"<p>Der Übergang von der Schule in den Beruf ist oft nicht einfach. Viele Jugendliche haben Schwierigkeiten bei der Entscheidungsfindung und brauchen einen neutralen Ratgeber, einen Mentor, der sie unvoreingenommen unterstützt. Die Initiative hat es sich zur Aufgabe gemacht, Jugendliche und junge Erwachsene in dieser Lebensphase zu begleiten.</p>

<p>Ehrenamtliche Mitarbeiter mit Erfahrung im Berufsleben übernehmen Patenschaften und unterstützen Schüler in den letzten beiden Schuljahren bei der beruflichen Orientierung.Wir freuen uns über Ehrenamtliche, die Nachhilfe und welche die  Berufsorientierung geben. Sie bieten Bewerbungstraining an und helfen nicht nur, langfristig tragfähige Ausbildungsverhältnisse vorzubereiten, sondern bleiben über die Ausbildungszeit hinweg ansprechbar.</p>

<p>Dieser Prozess kann manchmal langwierig sein. Wenn Sie aber offen und kommunikationsstark sind, Durchhaltevermögen besitzen und auch eine gewisse Frustrationstoleranz mitbringen, können Sie sich in diesem Engagement gut einbringen.</p>

<p>Seit kurzem begleiten wir auch jugendliche Geflüchtete, die in der Regel an einer Berufsschule ihren Schulabschluss machen (ESA oder MSA).</p>";0;22145;;0;;15;5;53,6208;10,1704;Hamburg;1518711056;1324469040;40002
313;Freiwilligennetzwerk Harburg;Freunde alter Menschen e.V. – les petits frères des Pauvres;"Besuchspartnerschaften mit ""Alten Freunden""";"<p>Wenn die Angehörigen weit weg leben, die Freunde bereits verstorben oder pflegebedürftig sind und die eigene Mobilität eingeschränkt ist, führen viele alte Menschen ein isoliertes Leben mitten unter uns. Die notwendige Pflege ist inzwischen zwar in einem gewissen Rahmen gewährleiste, aber zwischenmenschliche Nähe und Freundschaft kann durch eine Dienstleistung nicht ersetzt werden.</p>

<p>Hier setzt unser Verein “Freunde alter Menschen” an. Mit der Vermittlung von Besuchspartnerschaften möchten wir alten Menschen wieder Hoffnung und Lebensmut schenken - und jungen Menschen den Kontakt zur älteren Generation ermöglichen. Bei einer solchen Partnerschaft besuchen Freiwillige einmal im Monat einen alten Menschen in seinem Zuhause - einfach nur zum Reden, Lachen, Kniffeln oder Kuchen essen.</p>

<p>Wann die Besuche stattfinden, kann jede Besuchspartnerschaft (Freiwillige und ihre „Alten Freunde“) selbst wählen. Ob zum Sonntagskaffee oder zum Abendbrot nach der Arbeit - eine solche Partnerschaft lässt sich problemlos in eine 40-Stunden-Woche integrieren. Wichtig ist nur, dass sich die Freiwilligen wirklich langfristig verpflichten.</p>";0;20535;;0;;5;0;53,5587;10,0356;Hamburg;1518959228;1489490340;115492
313;Freiwilligennetzwerk Harburg;Freunde alter Menschen e.V. – les petits frères des Pauvres;Aufbau / Engagement im Stadtteil Team;"<p>Zu den Aufgaben des Stadtteil-Teams gehören:</p>

<ul><li>Kontakt zu neuen Freiwilligen herstellen</li>
	<li>Kontakt zu einsamen alten Menschen herstellen (z. B. durch neue Kooperationen).</li>
</ul><p><br>
In Zukunft auch:</p>

<ul><li>Erstgespräche mit Freiwilligen und alten Menschen durchführen</li>
	<li>Vermittlung von Besuchspartnerschaften begleiten</li>
	<li>Unterstützung der Freiwilligen vor Ort</li>
	<li>Organisation von Events</li>
	<li>Erstellung von Freiwilligen-Profilen und Koordination der Freiwilligen.</li>
</ul>";0;20535;;0;;8;1;53,5587;10,0356;Hamburg;1518959112;1490350560;116058
313;Freiwilligennetzwerk Harburg;Freilichtmuseum am Kiekeberg;Unterstützung im Hofcafé eines Museumsbauernhofes;"<p>Das Hofcafé lädt an den Wochenenden von Mai bis Oktober zum Verweilen ein. In der behaglich eingerichteten alten Scheune des Museumsbauernhofes erwartet die Gäste ein besonderes Ambiente. Bei Sonnenschein bietet der Kaffeegarten ein lauschiges Plätzchen an der frischen Luft.</p>

<p>Die charakteristischen Tische, Stühle und Sofas der 1930er-Jahre lassen die Zeit der Schwarz-Weiß-Filme wieder aufleben. Torte und Kaffee können hier bei Musik von Heinz Rühmann oder den „Comedian Harmonists“ genossen werden.</p>

<p>Die Mitarbeiter des Hofcafés freuen sich über Freiwillige, die sie an Aktionstagen bei der Arbeit unterstützen möchten.</p>";0;;;0;;0;0;;;;1518952887;1337618160;44167
